Unnamed: 0,age,upgraded,gender,category,score1,score2,score3,pred_cluster
688,42,1,1,1,4.07227057495,1.30266815705,-0.254782939474,2
689,41,1,1,1,4.26534239227,1.15958194899,-0.268128856648,2
690,42,1,1,1,4.07519406501,1.30795436967,-0.246189265536,2
691,43,1,1,1,2.27270645839,3.24398981208,-0.00157156325888,2
692,40,1,1,1,4.34219369837,1.21790529486,-0.173912026226,2
693,41,1,1,1,4.29335642407,1.21790529486,-0.197303522867,2
694,42,1,1,1,4.07351390472,1.30266815705,-0.253864488924,2
695,42,1,1,1,3.66688315212,1.79827155284,-0.0807821881885,2
696,42,1,1,1,3.6027080279,1.80452760851,-0.0996140449593,2
697,43,1,1,1,2.25014143783,3.17860367915,-0.00828433251939,2
698,41,1,1,1,4.36395357554,1.10843059761,-0.264266077969,2
821,41,1,1,2,3.76117321431,1.55984842889,-0.0822516736434,2
822,43,1,1,2,3.25292870946,1.83432394475,-0.153474968505,2
823,42,1,1,2,3.51515219234,1.72738093529,-0.0873842719609,2
824,39,1,1,2,4.44243200822,1.04186555478,-0.0995047817595,2
826,40,1,1,2,4.46967597728,0.958967006155,-0.220868049733,2
827,40,1,1,2,4.30628669572,1.11887232768,-0.11829166261,2
828,41,1,1,2,4.38093384405,0.967211957053,-0.274249992107,2
1144,42,1,1,1,3.15228753925,2.44206873578,-0.0144229545592,2
1145,43,1,1,1,2.70510353996,2.53551262469,-0.148718201494,2
1146,39,1,1,1,4.66630567144,0.937699911112,-0.287844518979,2
1147,40,1,1,1,3.82083426241,1.97789319491,-0.0247674599664,2
1148,39,1,1,1,4.03506130026,1.84379831895,-0.0278037363711,2
1149,40,1,1,1,3.81167489678,1.97789319491,-0.0258966051987,2
1487,43,0,1,1,3.595208262,1.64661808356,-0.682842035433,2
1488,43,0,1,1,3.48271631057,1.64661808356,-1.01784060615,2
2021,41,1,1,2,4.06554880775,1.31656907863,-0.194323077395,2
2022,41,1,1,2,4.07999130834,1.20432274309,-0.356324302563,2
2023,42,1,1,2,3.61827569559,1.7140141206,-0.165351771149,2
2024,42,1,1,2,3.53961401255,1.77688269,-0.163764948987,2
2025,42,1,1,2,3.49743282673,1.77068903861,-0.220344695518,2
2026,42,1,1,2,3.48525928008,1.75925349501,-0.251585080475,2
2027,43,1,1,2,3.21140187637,1.8695380773,-0.552910634305,2
2028,43,1,1,2,3.17153082372,1.8695380773,-0.718810289179,2
2029,42,1,1,2,3.47798905031,1.77068903861,-0.242820590697,2
2030,43,1,1,2,3.38510159307,1.76647584869,-0.411983407136,2
2031,37,1,1,2,4.79091948934,0.870581815781,-0.172078104945,2
2032,39,1,1,2,4.57273641735,0.937699911112,-0.271295891562,2
2033,39,1,1,2,4.49716641187,0.966108938855,-0.204032169,2
2034,41,1,1,2,4.07283092009,1.22065291458,-0.332542075432,2
2036,41,1,1,2,3.70165578203,1.65839949048,-0.147554133294,2
2038,43,1,1,2,3.41156038973,1.76502185037,-0.361134713946,2
2039,43,1,1,2,3.23051012082,1.84985540642,-0.561283214819,2
2040,40,1,1,2,4.08534678859,1.3820353042,-0.119342902992,2
2041,40,1,1,2,4.02781208669,1.38911537831,-0.151629652289,2
2042,43,1,1,2,3.10603538768,1.8695380773,-1.09944571287,2
2043,44,1,1,2,3.10407832973,1.8695380773,-1.11763126218,2
2111,40,0,1,2,3.88320496085,1.68656560635,-0.0436604294847,2
2114,43,0,1,2,3.00558918638,2.14272145861,-0.334085314588,2
2572,40,1,1,1,4.38090675725,1.1387940783,-0.451667868645,2
2573,40,1,1,1,4.37313823609,1.13053076424,-0.478793129579,2
2574,40,1,1,1,4.47877010219,1.04471912632,-0.479563296002,2
2575,41,1,1,1,3.85982519219,1.71662276298,-0.221276371829,2
2576,41,1,1,1,3.69649338275,1.84281690247,-0.220357529629,2
2577,43,0,1,1,2.68943376397,2.75215001769,-0.177505456844,2
2578,43,1,1,1,2.92543525911,2.52282041952,-0.195868546702,2
2579,43,1,1,1,2.88108895368,2.57364985962,-0.184051351226,2
2580,38,1,1,1,4.76924968998,0.898696863473,-0.263109573741,2
2581,36,0,1,1,4.91164308963,0.897474817617,-0.165325900652,2
2582,39,1,1,1,4.56403741168,1.02241495583,-0.366971431297,2
2583,41,1,1,1,4.16948245948,1.36955503712,-0.35467983264,2
2584,42,1,1,1,3.54580194135,1.92793527896,-0.269230238112,2
2585,39,1,1,1,4.60415989522,0.967364002058,-0.408145617967,2
2586,39,1,1,1,4.55470523904,1.04521151194,-0.370389103173,2
2587,40,1,1,1,4.5334484113,1.04521151194,-0.393460081174,2
2588,40,1,1,1,4.48245027086,1.05260325357,-0.460306076477,2
2589,43,1,1,1,2.69017685138,2.54502133769,-1.08694896938,2
2599,43,0,1,1,2.88229617061,2.30815952693,-1.30235480066,2
2600,43,0,1,1,2.94294838246,2.3391484323,-0.643692208853,2
2746,41,1,1,2,3.66080413816,1.72558405355,-0.162212839877,2
2747,41,1,1,2,3.63275479948,1.72558405355,-0.189416529493,2
2748,43,1,1,2,2.8691049833,2.30871625892,-0.395098522317,2
2749,37,1,1,2,4.7802818565,0.870581815781,-0.202776023555,2
2750,38,1,1,2,4.72790534516,0.890849839392,-0.220867582048,2
2751,38,1,1,2,4.71991702902,0.890849839392,-0.225819475909,2
2752,38,1,1,2,4.65415310815,0.908702010225,-0.256429009194,2
2753,39,1,1,2,4.56607287909,0.937699911112,-0.32165752203,2
2754,40,1,1,2,4.28129226256,1.18255507345,-0.188204824524,2
2755,42,1,1,2,3.26270132156,1.97998025795,-0.296807594327,2
2756,39,1,1,2,4.57158762839,0.937699911112,-0.316993478432,2
2757,39,1,1,2,4.52753981039,0.949183775176,-0.34556574876,2
2758,40,1,1,2,4.1121630927,1.32998852491,-0.173159558375,2
2858,41,1,1,1,4.38966227404,0.979978891557,-0.921621341864,2
2860,38,1,1,1,4.8190487376,0.908702010225,-0.372752560368,2
2862,38,1,1,1,4.78321396342,0.908702010225,-0.405355261142,2
2863,39,1,1,1,4.66512875956,0.937699911112,-0.485813203783,2
2865,39,1,1,1,4.6508942867,0.949183775176,-0.497314302488,2
3108,41,1,1,2,3.89313611384,1.53251367062,-0.180358535581,2
3109,41,1,1,2,3.69774566594,1.71341947778,-0.163177330902,2
3110,40,1,1,2,4.41155151775,0.967211957053,-0.493586391907,2
3111,40,1,1,2,3.97741764152,1.46323225384,-0.177816137455,2
3112,41,1,1,2,3.31635394347,2.12712394966,-0.0790271663436,2
3113,42,1,1,2,3.28669332428,2.10215659042,-0.126733851204,2
3114,43,1,1,2,2.87441788766,2.38693543256,-0.268283206395,2
3115,43,1,1,2,2.87322784457,2.38693543256,-0.269852273563,2
3116,37,1,1,2,4.77113860676,0.870581815781,-0.209861712981,2
3117,38,1,1,2,4.66578385689,0.908702010225,-0.286914213997,2
3118,38,1,1,2,4.65965358831,0.908702010225,-0.263319252123,2
3119,39,1,1,2,4.6271991555,0.924258901523,-0.304026894931,2
3120,40,1,1,2,3.96545777061,1.46323225384,-0.186791742804,2
3121,42,1,1,2,3.12543769771,2.23676575196,-0.137894743926,2
3122,42,1,1,2,3.11534116612,2.21631889284,-0.174976997025,2
3123,42,1,1,2,2.89331203172,2.39749519278,-0.218930980413,2
3124,43,1,1,2,2.69521977083,2.48396453947,-0.542665397196,2
3125,43,1,1,2,2.69439652769,2.48396453947,-0.546164414672,2
3126,44,1,1,2,2.59417998308,2.46381919746,-2.66191339684,2
